feature,importance
area_m2,0.09141574827646905
perimeter_m,0.07288091082852605
compactness,0.07013380074321578
aspect_ratio,0.07003130215782892
convexity,0.054234062682450485
floors_feat,0.05274087874471552
gfa_m2,0.05211614488902652
is_supertall_int,0.04738233074059394
n_bld_100m,0.043064874143522294
nbr_fp_med_m2,0.03933879792526907
nn_dist_m,0.03320824126710195
parcel_area_m2,0.03200411398263509
n_bld_in_parcel,0.03088394126364741
gfa_share_parcel,0.030200423476946237
in_parcel,0.028483881235175035
euluc_0,0.027959855398450938
euluc_1,0.027613435002714726
euluc_2,0.024573289513133714
euluc_3,0.02439591852454868
euluc_4,0.023674533493610313
