cell_id,area_ha,dense
45,0.9334873310745777,False
46,7.529401999560023,False
47,14.189840711977714,False
163,3.2282688456573063,False
164,1.5792646151784155,False
165,2.7915591683889067,False
172,21.652546603582152,False
173,4.072328034986321,True
174,28.772768031577026,False
291,10.739047494188902,False
292,5.358921803067911,False
293,0.39473846371740295,False
294,0.5109448623567682,False
295,2.2633973674418204,False
299,0.8486346465967339,False
300,42.17621355589223,False
301,22.0304776384588,False
421,0.1524320410027412,True
422,2.4038769080603646,False
427,21.91146509680601,False
428,2.244010263547032,False
429,0.04607097403026423,True
547,1.0268024373616829,True
548,6.1922952846116806,True
549,11.240869053282857,False
676,2.7459202894946375,False
677,7.302500829969943,False
801,13.394764607303381,False
802,19.618899739855344,False
803,35.32706725434035,False
804,33.69895419403244,False
805,6.498381976180889,False
928,19.371693029333372,False
929,13.083344810165107,False
930,50.23983636199061,False
1030,0.0016045738301666195,False
1036,0.8742166670020959,False
1037,2.106543722713333,False
1054,0.05316685514410551,False
1055,5.468595853371081,False
1056,7.964867398041245,False
1163,19.954143318746507,False
1164,24.073266576060355,False
1165,11.253810639467927,False
1171,7.187523123826034,True
1172,2.335315759766259,False
1173,12.814043058272494,True
1174,7.855632817842307,True
1290,18.021262186518747,True
1291,42.6336386217714,True
1292,15.03486902151829,True
1293,22.837299803893195,True
1298,3.544885184790648,True
1299,30.783846781575644,True
1300,25.638569417367012,True
1301,5.273979107725747,False
1315,0.37969905969126955,False
1316,0.01154006374726442,False
1417,37.50075136278479,True
1418,44.206077715888945,True
1419,15.665785456916428,False
1420,67.09143107896566,False
1421,2.5593590123152845,False
1423,2.5816810271776007,False
1425,4.717398561903405,True
1426,43.41923057544012,True
1427,55.49523286309498,True
1428,0.06286011877995702,False
1440,2.7553320052021757,False
1441,0.029398004609234512,False
1442,0.06856430485668932,False
1443,14.315387237752251,False
1444,9.577906274845116,False
1445,3.8381096663289007,False
1542,0.9462214052619249,False
1543,4.388617818934777,False
1544,10.998881687748337,False
1545,40.98758488222211,False
1546,22.950958739611583,False
1547,3.292600598127723,False
1550,0.9141537150866641,False
1552,0.5740346750531317,False
1553,10.0637603588683,True
1554,48.03460207692257,True
1555,1.7074277076557314,False
1557,2.4495542177836915,False
1570,70.71441634364868,False
1571,70.56375193417453,False
1572,3.774804879853769,False
1681,0.7491036334791897,False
1682,1.3348370206223743,False
1683,0.9758612365221767,False
1684,21.67407443173743,False
1685,32.46012080230304,False
1686,2.6295077355090415,False
1687,7.968714506829742,False
1696,40.54292101699748,False
1697,72.96638565980575,False
1698,45.139820669631526,True
1699,38.67712917969518,False
1799,1.0093256021593204,False
1803,1.2942381396777738,False
1804,2.0925140070674146,False
1808,0.3105872448030902,False
1809,1.6141371771903317,False
1811,7.612686256782098,False
1812,15.195841976071357,False
1814,2.7545941792909407,False
1817,1.7589769615303807,False
1818,0.2255435589103001,False
1819,5.729150754785609,True
1820,3.932945316235344,False
1821,2.876350571633926,False
1822,0.6690561005043953,False
1823,54.1220578618058,True
1824,11.27052926325776,True
1825,2.7585776264133486,False
1826,1.8220858796602268,True
1930,13.163008171345894,True
1931,10.580152692055954,True
1936,0.03716160697215833,True
1938,1.0222291195415907,False
1939,6.644869784209867,True
1940,1.2009320058075137,False
1946,22.55901002120305,True
1947,3.7035510947697143,True
1948,7.7793627142688635,True
1949,1.7687216905332968,False
1950,73.57434932407969,True
1951,13.21476269709396,False
