feature,importance
area_m2,0.1573967139175041
perimeter_m,0.1054781180807526
compactness,0.07411160150378583
aspect_ratio,0.05797036397348774
convexity,0.05206462141131929
floors_feat,0.050332861271705207
gfa_m2,0.04392562431603811
is_supertall_int,0.03863728751016488
n_bld_100m,0.03439825446812159
nbr_fp_med_m2,0.03330491358457728
nn_dist_m,0.0323366914339729
parcel_area_m2,0.0321612109102886
n_bld_in_parcel,0.03154731202864224
gfa_share_parcel,0.03141088831475847
in_parcel,0.03012307290670916
euluc_0,0.02839682051696032
euluc_1,0.0230298984411992
euluc_2,0.02217178744050853
euluc_3,0.020717148501855426
euluc_4,0.019418467605977506
