model,test_accuracy,test_macro_f1,test_log_loss,cv_acc_mean,cv_acc_std,cv_f1_mean,cv_f1_std,cv_logloss_mean,cv_logloss_std
RandomForest,0.22627737226277372,0.13539781479925453,4.424557720191511,0.9016270603385526,0.007260635899845769,0.3769350114195861,0.002864020220682447,0.30877122826794023,0.032372232698938484
XGBoost,0.25547445255474455,0.15248438400823675,6.964434862571196,0.8979721414791554,0.0060307979355176235,0.37607080095101864,0.0023351802910474835,0.3224709102903766,0.036193243475062704
CatBoost,0.24817518248175183,0.1495357682291577,5.150894258687088,0.8992296478036856,0.0067795625065440995,0.3788684095908051,0.007243797204563656,0.272970637347117,0.02897660807724466
