# 52 组模拟矩阵 v0 月度分项 EUI(kWh/m²/月)— 2026-07-12
# ⚠️ v0 = 管线验证值,非终值,禁止引用作结果(参数二手转录待 owner 复核;IdealLoads×COP,无风机/水泵/热水)
# 引擎 EnergyPlus 26.1.0-6f2e40d102 | 气象 CSWD 583620 | 矩阵 52 格(excluded 4 见 simulation_matrix.yaml) | 失败 0 格
archetype,height_bin,n_floors,month,cooling_kwh_m2,heating_kwh_m2,lighting_kwh_m2,equipment_kwh_m2,total_kwh_m2
residential_high_rise,supertall,35,11,0.018,0.161,0.87,1.395,2.444
residential_high_rise,supertall,35,12,0.0,2.555,0.899,1.442,4.895
residential_mid_rise,low,2,1,0.0,6.162,0.899,1.442,8.503
residential_mid_rise,low,2,2,0.0,3.387,0.812,1.302,5.501
residential_mid_rise,low,2,3,0.015,3.002,0.899,1.442,5.358
residential_mid_rise,low,2,4,0.139,0.184,0.87,1.395,2.588
residential_mid_rise,low,2,5,1.804,0.0,0.899,1.442,4.145
residential_mid_rise,low,2,6,3.733,0.0,0.87,1.395,5.998
residential_mid_rise,low,2,7,6.649,0.0,0.899,1.442,8.989
residential_mid_rise,low,2,8,5.957,0.0,0.899,1.442,8.298
residential_mid_rise,low,2,9,4.146,0.0,0.87,1.395,6.411
residential_mid_rise,low,2,10,0.782,0.002,0.899,1.442,3.124
residential_mid_rise,low,2,11,0.003,0.23,0.87,1.395,2.499
residential_mid_rise,low,2,12,0.0,3.174,0.899,1.442,5.514
residential_mid_rise,multi,5,1,0.0,5.581,0.899,1.442,7.922
residential_mid_rise,multi,5,2,0.0,3.06,0.812,1.302,5.174
residential_mid_rise,multi,5,3,0.02,2.718,0.899,1.442,5.079
residential_mid_rise,multi,5,4,0.158,0.15,0.87,1.395,2.573
residential_mid_rise,multi,5,5,1.966,0.0,0.899,1.442,4.307
residential_mid_rise,multi,5,6,3.882,0.0,0.87,1.395,6.147
residential_mid_rise,multi,5,7,6.758,0.0,0.899,1.442,9.098
residential_mid_rise,multi,5,8,6.12,0.0,0.899,1.442,8.46
residential_mid_rise,multi,5,9,4.301,0.0,0.87,1.395,6.566
residential_mid_rise,multi,5,10,0.971,0.001,0.899,1.442,3.312
residential_mid_rise,multi,5,11,0.012,0.189,0.87,1.395,2.466
residential_mid_rise,multi,5,12,0.0,2.793,0.899,1.442,5.133
shopping_mall,high,15,1,0.0,4.002,3.627,4.937,12.566
shopping_mall,high,15,2,0.0,1.783,3.276,4.459,9.518
shopping_mall,high,15,3,0.236,1.426,3.627,4.937,10.225
shopping_mall,high,15,4,0.806,0.002,3.51,4.778,9.096
shopping_mall,high,15,5,5.361,0.0,3.627,4.937,13.924
shopping_mall,high,15,6,7.841,0.0,3.51,4.778,16.128
shopping_mall,high,15,7,11.765,0.0,3.627,4.937,20.329
shopping_mall,high,15,8,10.838,0.0,3.627,4.937,19.401
shopping_mall,high,15,9,8.351,0.0,3.51,4.778,16.638
shopping_mall,high,15,10,3.33,0.0,3.627,4.937,11.894
shopping_mall,high,15,11,0.231,0.002,3.51,4.778,8.52
shopping_mall,high,15,12,0.0,1.217,3.627,4.937,9.781
shopping_mall,low,2,1,0.0,4.244,3.627,4.937,12.808
shopping_mall,low,2,2,0.0,1.891,3.276,4.459,9.626
shopping_mall,low,2,3,0.183,1.506,3.627,4.937,10.252
shopping_mall,low,2,4,0.615,0.003,3.51,4.778,8.906
shopping_mall,low,2,5,4.798,0.0,3.627,4.937,13.362
shopping_mall,low,2,6,7.347,0.0,3.51,4.778,15.634
shopping_mall,low,2,7,11.316,0.0,3.627,4.937,19.88
shopping_mall,low,2,8,10.367,0.0,3.627,4.937,18.931
shopping_mall,low,2,9,7.858,0.0,3.51,4.778,16.146
shopping_mall,low,2,10,2.832,0.0,3.627,4.937,11.395
shopping_mall,low,2,11,0.127,0.002,3.51,4.778,8.417
shopping_mall,low,2,12,0.0,1.331,3.627,4.937,9.895
shopping_mall,multi,5,1,0.0,4.087,3.627,4.937,12.65
shopping_mall,multi,5,2,0.0,1.824,3.276,4.459,9.56
shopping_mall,multi,5,3,0.218,1.457,3.627,4.937,10.238
shopping_mall,multi,5,4,0.741,0.003,3.51,4.778,9.031
shopping_mall,multi,5,5,5.17,0.0,3.627,4.937,13.734
shopping_mall,multi,5,6,7.674,0.0,3.51,4.778,15.962
shopping_mall,multi,5,7,11.613,0.0,3.627,4.937,20.177
shopping_mall,multi,5,8,10.68,0.0,3.627,4.937,19.244
shopping_mall,multi,5,9,8.185,0.0,3.51,4.778,16.473
shopping_mall,multi,5,10,3.166,0.0,3.627,4.937,11.729
shopping_mall,multi,5,11,0.197,0.002,3.51,4.778,8.486
shopping_mall,multi,5,12,0.0,1.26,3.627,4.937,9.824
shopping_mall,supertall,35,1,0.0,3.978,3.627,4.937,12.541
shopping_mall,supertall,35,2,0.0,1.771,3.276,4.459,9.507
shopping_mall,supertall,35,3,0.241,1.417,3.627,4.937,10.222
shopping_mall,supertall,35,4,0.825,0.002,3.51,4.778,9.115
shopping_mall,supertall,35,5,5.415,0.0,3.627,4.937,13.979
shopping_mall,supertall,35,6,7.888,0.0,3.51,4.778,16.176
shopping_mall,supertall,35,7,11.808,0.0,3.627,4.937,20.372
shopping_mall,supertall,35,8,10.882,0.0,3.627,4.937,19.446
shopping_mall,supertall,35,9,8.398,0.0,3.51,4.778,16.686
shopping_mall,supertall,35,10,3.377,0.0,3.627,4.937,11.941
shopping_mall,supertall,35,11,0.24,0.002,3.51,4.778,8.529
shopping_mall,supertall,35,12,0.0,1.205,3.627,4.937,9.769
sport_culture,high,15,1,0.0,6.313,3.013,1.767,11.093
sport_culture,high,15,2,0.0,3.144,2.722,1.596,7.461
sport_culture,high,15,3,0.141,2.769,3.013,1.767,7.69
sport_culture,high,15,4,0.474,0.072,2.916,1.71,5.172
sport_culture,high,15,5,4.383,0.0,3.013,1.767,9.163
sport_culture,high,15,6,7.045,0.0,2.916,1.71,11.671
sport_culture,high,15,7,11.343,0.0,3.013,1.767,16.123
sport_culture,high,15,8,10.282,0.0,3.013,1.767,15.062
sport_culture,high,15,9,7.736,0.0,2.916,1.71,12.362
sport_culture,high,15,10,2.541,0.0,3.013,1.767,7.321
sport_culture,high,15,11,0.12,0.031,2.916,1.71,4.776
sport_culture,high,15,12,0.0,2.496,3.013,1.767,7.277
sport_culture,low,2,1,0.0,6.5,3.013,1.767,11.28
sport_culture,low,2,2,0.0,3.237,2.722,1.596,7.555
sport_culture,low,2,3,0.111,2.847,3.013,1.767,7.738
sport_culture,low,2,4,0.396,0.077,2.916,1.71,5.1
sport_culture,low,2,5,3.946,0.0,3.013,1.767,8.727
sport_culture,low,2,6,6.567,0.0,2.916,1.71,11.193
sport_culture,low,2,7,10.85,0.0,3.013,1.767,15.63
sport_culture,low,2,8,9.776,0.0,3.013,1.767,14.557
sport_culture,low,2,9,7.242,0.0,2.916,1.71,11.868
sport_culture,low,2,10,2.148,0.0,3.013,1.767,6.929
sport_culture,low,2,11,0.069,0.034,2.916,1.71,4.729
sport_culture,low,2,12,0.0,2.623,3.013,1.767,7.404
sport_culture,multi,5,1,0.0,6.384,3.013,1.767,11.164
sport_culture,multi,5,2,0.0,3.184,2.722,1.596,7.501
sport_culture,multi,5,3,0.13,2.803,3.013,1.767,7.714
sport_culture,multi,5,4,0.446,0.074,2.916,1.71,5.147
sport_culture,multi,5,5,4.23,0.0,3.013,1.767,9.01
sport_culture,multi,5,6,6.882,0.0,2.916,1.71,11.508
sport_culture,multi,5,7,11.176,0.0,3.013,1.767,15.956
sport_culture,multi,5,8,10.112,0.0,3.013,1.767,14.892
sport_culture,multi,5,9,7.569,0.0,2.916,1.71,12.195
sport_culture,multi,5,10,2.409,0.0,3.013,1.767,7.189
sport_culture,multi,5,11,0.103,0.032,2.916,1.71,4.761
sport_culture,multi,5,12,0.0,2.548,3.013,1.767,7.328
sport_culture,supertall,35,1,0.0,6.292,3.013,1.767,11.073
sport_culture,supertall,35,2,0.0,3.132,2.722,1.596,7.45
sport_culture,supertall,35,3,0.144,2.759,3.013,1.767,7.684
sport_culture,supertall,35,4,0.482,0.071,2.916,1.71,5.18
sport_culture,supertall,35,5,4.427,0.0,3.013,1.767,9.207
sport_culture,supertall,35,6,7.092,0.0,2.916,1.71,11.718
sport_culture,supertall,35,7,11.391,0.0,3.013,1.767,16.171
sport_culture,supertall,35,8,10.331,0.0,3.013,1.767,15.111
sport_culture,supertall,35,9,7.784,0.0,2.916,1.71,12.41
sport_culture,supertall,35,10,2.579,0.0,3.013,1.767,7.359
sport_culture,supertall,35,11,0.124,0.03,2.916,1.71,4.781
sport_culture,supertall,35,12,0.0,2.482,3.013,1.767,7.262
transportation,high,15,1,0.0,6.684,4.269,3.881,14.834
transportation,high,15,2,0.001,3.254,3.856,3.506,10.616
transportation,high,15,3,0.22,2.744,4.269,3.881,11.114
transportation,high,15,4,0.722,0.061,4.131,3.756,8.67
transportation,high,15,5,5.788,0.0,4.269,3.881,13.938
transportation,high,15,6,9.277,0.0,4.131,3.756,17.164
transportation,high,15,7,14.544,0.0,4.269,3.881,22.693
transportation,high,15,8,13.315,0.0,4.269,3.881,21.464
transportation,high,15,9,9.845,0.0,4.131,3.756,17.732
transportation,high,15,10,3.391,0.0,4.269,3.881,11.541
transportation,high,15,11,0.186,0.043,4.131,3.756,8.116
transportation,high,15,12,0.002,2.571,4.269,3.881,10.723
transportation,low,2,1,0.0,6.986,4.269,3.881,15.136
transportation,low,2,2,0.0,3.41,3.856,3.506,10.771
transportation,low,2,3,0.176,2.885,4.269,3.881,11.21
transportation,low,2,4,0.595,0.068,4.131,3.756,8.55
transportation,low,2,5,5.198,0.0,4.269,3.881,13.347
transportation,low,2,6,8.712,0.0,4.131,3.756,16.599
transportation,low,2,7,14.031,0.0,4.269,3.881,22.181
transportation,low,2,8,12.784,0.0,4.269,3.881,20.934
transportation,low,2,9,9.3,0.0,4.131,3.756,17.187
transportation,low,2,10,2.899,0.0,4.269,3.881,11.049
transportation,low,2,11,0.116,0.048,4.131,3.756,8.051
transportation,low,2,12,0.0,2.741,4.269,3.881,10.891
transportation,multi,5,1,0.0,6.792,4.269,3.881,14.941
transportation,multi,5,2,0.001,3.314,3.856,3.506,10.676
transportation,multi,5,3,0.205,2.797,4.269,3.881,11.151
transportation,multi,5,4,0.677,0.064,4.131,3.756,8.628
transportation,multi,5,5,5.585,0.0,4.269,3.881,13.735
transportation,multi,5,6,9.085,0.0,4.131,3.756,16.972
transportation,multi,5,7,14.37,0.0,4.269,3.881,22.519
transportation,multi,5,8,13.136,0.0,4.269,3.881,21.286
transportation,multi,5,9,9.661,0.0,4.131,3.756,17.548
transportation,multi,5,10,3.227,0.0,4.269,3.881,11.377
transportation,multi,5,11,0.162,0.045,4.131,3.756,8.094
transportation,multi,5,12,0.002,2.637,4.269,3.881,10.789
transportation,supertall,35,1,0.0,6.653,4.269,3.881,14.803
transportation,supertall,35,2,0.001,3.236,3.856,3.506,10.599
transportation,supertall,35,3,0.225,2.729,4.269,3.881,11.103
transportation,supertall,35,4,0.735,0.06,4.131,3.756,8.682
transportation,supertall,35,5,5.846,0.0,4.269,3.881,13.996
transportation,supertall,35,6,9.332,0.0,4.131,3.756,17.219
transportation,supertall,35,7,14.593,0.0,4.269,3.881,22.743
transportation,supertall,35,8,13.366,0.0,4.269,3.881,21.515
transportation,supertall,35,9,9.898,0.0,4.131,3.756,17.785
transportation,supertall,35,10,3.438,0.0,4.269,3.881,11.588
transportation,supertall,35,11,0.193,0.042,4.131,3.756,8.122
transportation,supertall,35,12,0.002,2.553,4.269,3.881,10.705
