# 52 组模拟矩阵 v0 月度分项 EUI(kWh/m²/月)— 2026-07-12
# ⚠️ v0 = 管线验证值,非终值,禁止引用作结果(参数二手转录待 owner 复核;IdealLoads×COP,无风机/水泵/热水)
# 引擎 EnergyPlus 26.1.0-6f2e40d102 | 气象 CSWD 583620 | 矩阵 52 格(excluded 4 见 simulation_matrix.yaml) | 失败 0 格
archetype,height_bin,n_floors,month,cooling_kwh_m2,heating_kwh_m2,lighting_kwh_m2,equipment_kwh_m2,total_kwh_m2
transportation,low,2,12,0.039,2.986,4.269,3.881,11.174
transportation,multi,5,1,0.014,6.78,4.269,3.881,14.944
transportation,multi,5,2,0.047,3.454,3.856,3.506,10.862
transportation,multi,5,3,0.207,2.755,4.269,3.881,11.112
transportation,multi,5,4,0.749,0.087,4.131,3.756,8.723
transportation,multi,5,5,5.431,0.0,4.269,3.881,13.581
transportation,multi,5,6,8.946,0.0,4.131,3.756,16.833
transportation,multi,5,7,14.083,0.0,4.269,3.881,22.233
transportation,multi,5,8,12.908,0.0,4.269,3.881,21.057
transportation,multi,5,9,9.523,0.0,4.131,3.756,17.41
transportation,multi,5,10,3.328,0.0,4.269,3.881,11.478
transportation,multi,5,11,0.323,0.082,4.131,3.756,8.292
transportation,multi,5,12,0.048,2.849,4.269,3.881,11.047
transportation,supertall,35,1,0.016,6.595,4.269,3.881,14.761
transportation,supertall,35,2,0.053,3.348,3.856,3.506,10.762
transportation,supertall,35,3,0.22,2.662,4.269,3.881,11.032
transportation,supertall,35,4,0.803,0.085,4.131,3.756,8.775
transportation,supertall,35,5,5.706,0.0,4.269,3.881,13.856
transportation,supertall,35,6,9.234,0.0,4.131,3.756,17.121
transportation,supertall,35,7,14.318,0.0,4.269,3.881,22.468
transportation,supertall,35,8,13.157,0.0,4.269,3.881,21.307
transportation,supertall,35,9,9.799,0.0,4.131,3.756,17.686
transportation,supertall,35,10,3.542,0.0,4.269,3.881,11.692
transportation,supertall,35,11,0.348,0.081,4.131,3.756,8.315
transportation,supertall,35,12,0.055,2.749,4.269,3.881,10.954
